,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
1681,1220,1,8610000US01944,61730,172,2017,01944
1687,4055,1,8610000US01945,158619,567,2017,01945
1694,4045,1,8610000US01949,197713,341,2017,01949
1700,11277,1,8610000US01950,563023,798,2017,01950
1704,494,1,8610000US01951,19059,88,2017,01951
1708,2820,1,8610000US01952,145847,279,2017,01952
1715,23449,1,8610000US01960,1107454,1484,2017,01960
1728,356,1,8610000US01961,17559,17,2017,01961
1733,606,1,8610000US01966,25626,191,2017,01966
1738,2857,1,8610000US01969,146302,224,2017,01969
1744,16600,1,8610000US01970,825471,1175,2017,01970
1751,1107,1,8610000US01982,47915,145,2017,01982
1757,2397,1,8610000US01983,128229,242,2017,01983
1763,1701,1,8610000US01984,42420,84,2017,01984
1768,578,1,8610000US01985,23684,76,2017,01985
1773,6736,1,8610000US02019,285161,403,2017,02019
1780,158,1,8610000US02020,4586,12,2017,02020
1782,22296,1,8610000US02021,1717744,960,2017,02021
1791,2494,1,8610000US02025,93070,272,2017,02025
1798,15057,1,8610000US02026,754595,929,2017,02026
1803,230,1,8610000US02027,19430,17,2017,02027
1806,515,1,8610000US02030,23492,124,2017,02030
1807,2132,1,8610000US02032,136457,130,2017,02032
1814,14514,1,8610000US02035,865301,635,2017,02035
1822,14874,1,8610000US02038,766519,859,2017,02038
1830,4,1,8610000US02040,236,3,2017,02040
1832,27,1,8610000US02041,527,5,2017,02041
1834,16582,1,8610000US02043,835701,881,2017,02043
1841,737,1,8610000US02045,28954,168,2017,02045
1846,6,1,8610000US02047,549,5,2017,02047
1848,11460,1,8610000US02048,739559,595,2017,02048
1855,4832,1,8610000US02050,199148,522,2017,02050
1862,49,1,8610000US02051,820,9,2017,02051
1864,2603,1,8610000US02052,95841,315,2017,02052
1870,2990,1,8610000US02053,152944,319,2017,02053
1884,1552,1,8610000US02054,53893,201,2017,02054
1887,2291,1,8610000US02056,106251,243,2017,02056
1893,9,1,8610000US02059,229,6,2017,02059
1895,90,1,8610000US02060,7094,8,2017,02060
1897,10278,1,8610000US02061,654618,623,2017,02061
1905,25560,1,8610000US02062,1720476,1246,2017,02062
1917,10,1,8610000US02065,462,3,2017,02065
1919,2591,1,8610000US02066,95618,373,2017,02066
1925,2836,1,8610000US02067,143564,376,2017,02067
1931,29,1,8610000US02070,1080,4,2017,02070
1932,50,1,8610000US02071,3122,15,2017,02071
1934,32971,1,8610000US02072,941675,933,2017,02072
1942,6792,1,8610000US02081,349373,609,2017,02081
1949,15665,1,8610000US02090,1039288,508,2017,02090
1954,6093,1,8610000US02093,179549,434,2017,02093
1961,23344,1,8610000US02108,1955700,1143,2017,02108
1969,38002,1,8610000US02109,4725225,1408,2017,02109
1978,59843,1,8610000US02110,9864188,1845,2017,02110
1991,33438,1,8610000US02111,3117525,1048,2017,02111
2001,91,1,8610000US02112,3537,9,2017,02112
2003,2367,1,8610000US02113,93216,180,2017,02113
2008,42431,1,8610000US02114,3379502,718,2017,02114
2019,64749,1,8610000US02115,4254639,633,2017,02115
2029,59050,1,8610000US02116,6345686,2031,2017,02116
2041,20315,1,8610000US02118,1110529,798,2017,02118
2049,7669,1,8610000US02119,435902,449,2017,02119
2056,4120,1,8610000US02120,200485,180,2017,02120
2063,1812,1,8610000US02121,70354,196,2017,02121
2070,7930,1,8610000US02122,362557,535,2017,02122
2078,6760,1,8610000US02124,240857,569,2017,02124
2087,11059,1,8610000US02125,647783,478,2017,02125
2096,2006,1,8610000US02126,71765,226,2017,02126
2101,11081,1,8610000US02127,692096,681,2017,02127
2110,22148,1,8610000US02128,1129114,780,2017,02128
2119,13362,1,8610000US02129,921475,501,2017,02129
2128,14823,1,8610000US02130,876111,645,2017,02130
2135,6275,1,8610000US02131,236395,458,2017,02131
2142,6172,1,8610000US02132,245520,512,2017,02132
2151,39,1,8610000US02133,3375,6,2017,02133
2153,10110,1,8610000US02134,517867,541,2017,02134
2160,17103,1,8610000US02135,989570,698,2017,02135
2169,5207,1,8610000US02136,237201,439,2017,02136
2176,76,1,8610000US02137,4221,9,2017,02137
2178,49415,1,8610000US02138,3050905,1156,2017,02138
2185,47823,1,8610000US02139,4786481,1130,2017,02139
2196,9076,1,8610000US02140,669568,496,2017,02140
2204,11155,1,8610000US02141,889824,435,2017,02141
2213,23434,1,8610000US02142,4400201,527,2017,02142
2222,11577,1,8610000US02143,539621,645,2017,02143
2231,4916,1,8610000US02144,265148,427,2017,02144
2237,5884,1,8610000US02145,295565,422,2017,02145
2244,12180,1,8610000US02148,534212,982,2017,02148
2253,10827,1,8610000US02149,559007,774,2017,02149
2259,13289,1,8610000US02150,551544,727,2017,02150
2269,8186,1,8610000US02151,266714,800,2017,02151
2275,1594,1,8610000US02152,55931,272,2017,02152
2281,214,1,8610000US02153,4914,8,2017,02153
2282,18524,1,8610000US02155,1032066,1180,2017,02155
2292,365,1,8610000US02163,16067,33,2017,02163
2296,29179,1,8610000US02169,1664774,1555,2017,02169
2306,2423,1,8610000US02170,79297,270,2017,02170
2310,10813,1,8610000US02171,859981,413,2017,02171
2318,5197,1,8610000US02176,232795,516,2017,02176
2325,6943,1,8610000US02180,330129,606,2017,02180
2332,29415,1,8610000US02184,1575066,1542,2017,02184
2341,264,1,8610000US02185,23647,11,2017,02185
2344,5056,1,8610000US02186,230869,460,2017,02186
2350,28,1,8610000US02187,1906,6,2017,02187
2353,4216,1,8610000US02188,149298,298,2017,02188
2359,5914,1,8610000US02189,327630,407,2017,02189
