,ZCTA,n_households,med_income,population,density,city,state_id,state_name,lat,lng,Unnamed: 0,EMP,EMPSZES,GEO_ID,PAYANN,ESTAB,YEAR,zip code
2818,11792,2944,125000,8688,334.0,Wading River,NY,New York,40.94818,-72.83051,16852,1807,1,8610000US11792,69017,236,2017,11792
2819,11793,10385,126875,31238,1314.5,Wantagh,NY,New York,40.65075,-73.5142,16858,6043,1,8610000US11793,246751,817,2017,11793
2820,11794,0,126875,2952,4324.0,Stony Brook,NY,New York,40.913790000000006,-73.12532,16865,11432,1,8610000US11794,664041,72,2017,11794
2821,11795,7941,111581,24982,1774.3,West Islip,NY,New York,40.707879999999996,-73.29826,16871,8144,1,8610000US11795,485142,604,2017,11795
2822,11796,1216,92500,3826,1149.7,West Sayville,NY,New York,40.73135,-73.0997,16878,474,1,8610000US11796,16397,92,2017,11796
2823,11797,3022,166949,8737,679.5,Woodbury,NY,New York,40.81727,-73.47004,16883,17528,1,8610000US11797,1208550,718,2017,11797
2824,11798,3709,75350,15033,1243.0,Wyandanch,NY,New York,40.75225,-73.37595999999999,16891,2059,1,8610000US11798,91206,192,2017,11798
2825,11801,12516,100245,40340,2301.6,Hicksville,NY,New York,40.76239,-73.52394,16898,25576,1,8610000US11801,1313914,1971,2017,11801
2826,11803,9632,134375,28018,1795.3,Plainview,NY,New York,40.7818,-73.47348000000001,16911,22499,1,8610000US11803,1244242,1515,2017,11803
2827,11804,1703,112153,4916,670.9,Old Bethpage,NY,New York,40.75874,-73.45697,16919,1355,1,8610000US11804,55350,114,2017,11804
2828,11901,10047,59624,27486,190.2,Riverhead,NY,New York,40.922540000000005,-72.64658,16926,15166,1,8610000US11901,620264,1195,2017,11901
2829,11930,445,94185,893,56.3,Amagansett,NY,New York,40.98935,-72.10144,16934,699,1,8610000US11930,42351,138,2017,11930
2830,11931,19,94185,44,129.1,Aquebogue,NY,New York,40.93495,-72.61361,16939,556,1,8610000US11931,21973,62,2017,11931
2831,11932,440,82188,1138,62.5,Bridgehampton,NY,New York,40.939029999999995,-72.30784,16944,2293,1,8610000US11932,136163,269,2017,11932
2832,11933,2970,57933,7302,95.3,Calverton,NY,New York,40.923790000000004,-72.75495,16950,2800,1,8610000US11933,178218,190,2017,11933
2833,11934,2512,100691,8006,600.0,Center Moriches,NY,New York,40.800090000000004,-72.79363000000001,16957,2394,1,8610000US11934,90200,340,2017,11934
2834,11935,1257,94228,3199,125.0,Cutchogue,NY,New York,41.017959999999995,-72.48929,16959,805,1,8610000US11935,36354,158,2017,11935
2835,11937,6488,94612,15984,138.6,East Hampton,NY,New York,41.00704,-72.19529,16964,5846,1,8610000US11937,331600,925,2017,11937
2836,11939,431,72566,954,159.7,East Marion,NY,New York,41.12787,-72.34146,16987,47,1,8610000US11939,1730,17,2017,11939
2837,11940,1848,102197,5404,363.8,East Moriches,NY,New York,40.81038,-72.7571,16971,1186,1,8610000US11940,60636,176,2017,11940
2838,11941,762,106563,2004,312.1,Eastport,NY,New York,40.82973,-72.72838,16976,535,1,8610000US11941,19764,92,2017,11941
2839,11942,1804,82446,4597,205.2,East Quogue,NY,New York,40.85315,-72.5849,16989,735,1,8610000US11942,27903,147,2017,11942
2840,11944,1726,59254,4121,407.5,Greenport,NY,New York,41.09988,-72.37089,16994,1988,1,8610000US11944,93843,217,2017,11944
2841,11946,5533,78284,15145,406.1,Hampton Bays,NY,New York,40.87786,-72.52649,16998,3493,1,8610000US11946,145251,606,2017,11946
2842,11947,138,78284,511,247.2,Jamesport,NY,New York,40.95517,-72.57717,17005,277,1,8610000US11947,9225,57,2017,11947
2843,11948,386,84631,922,159.5,Laurel,NY,New York,40.96594,-72.55795,17009,157,1,8610000US11948,6969,27,2017,11948
2844,11949,4873,103542,14863,163.1,Manorville,NY,New York,40.86546,-72.80134,17013,1525,1,8610000US11949,57801,285,2017,11949
2845,11950,4674,75093,15884,1522.9,Mastic,NY,New York,40.807829999999996,-72.84739,17018,980,1,8610000US11950,26924,215,2017,11950
2846,11951,4803,66493,12391,786.9,Mastic Beach,NY,New York,40.7634,-72.83055999999999,17025,538,1,8610000US11951,15296,131,2017,11951
2847,11952,1987,81380,4841,189.4,Mattituck,NY,New York,40.99698,-72.5437,17030,1347,1,8610000US11952,63302,233,2017,11952
2848,11953,5201,72635,13401,510.6,Middle Island,NY,New York,40.88593,-72.95065,17034,2644,1,8610000US11953,93961,251,2017,11953
2849,11954,1528,87717,3655,69.4,Montauk,NY,New York,41.04652,-71.94662,17041,1367,1,8610000US11954,97866,323,2017,11954
2850,11955,1750,62256,3785,442.0,Moriches,NY,New York,40.808859999999996,-72.81985999999999,17047,657,1,8610000US11955,16310,76,2017,11955
2851,11956,127,66477,212,106.2,New Suffolk,NY,New York,40.98154,-72.46896,17052,85,1,8610000US11956,2403,11,2017,11956
2852,11957,331,71125,782,44.4,Orient,NY,New York,41.14927,-72.26173,17054,92,1,8610000US11957,4119,26,2017,11957
2853,11958,256,87750,698,85.2,Peconic,NY,New York,41.03618,-72.46153000000001,17056,347,1,8610000US11958,14131,43,2017,11958
2854,11959,398,92750,784,94.5,Quogue,NY,New York,40.822540000000004,-72.60117,17061,714,1,8610000US11959,45289,122,2017,11959
2855,11960,301,84375,696,221.7,Remsenburg,NY,New York,40.80854,-72.70635,17066,121,1,8610000US11960,8136,41,2017,11960
2856,11961,5392,61932,13330,385.4,Ridge,NY,New York,40.90392,-72.88749,17070,1033,1,8610000US11961,53162,152,2017,11961
2857,11962,123,118250,309,34.8,Sagaponack,NY,New York,40.93566,-72.27268000000001,17077,166,1,8610000US11962,9454,47,2017,11962
2858,11963,2662,90833,7430,189.5,Sag Harbor,NY,New York,40.99427,-72.32079,17081,2226,1,8610000US11963,118051,411,2017,11963
2859,11964,859,81352,2054,76.5,Shelter Island,NY,New York,41.0544,-72.32075,17086,397,1,8610000US11964,20683,93,2017,11964
2860,11965,336,119583,690,73.0,Shelter Island Heights,NY,New York,41.07776,-72.35273000000001,17091,266,1,8610000US11965,18457,54,2017,11965
2861,11967,7916,82378,27649,906.1,Shirley,NY,New York,40.79511,-72.8749,17095,5189,1,8610000US11967,214435,498,2017,11967
2862,11968,4469,82809,10667,165.6,Southampton,NY,New York,40.907,-72.41279,17102,7701,1,8610000US11968,468011,965,2017,11968
2863,11970,89,82809,264,358.9,South Jamesport,NY,New York,40.93914,-72.57746999999999,17111,38,1,8610000US11970,1101,10,2017,11970
2864,11971,2673,81654,6235,203.0,Southold,NY,New York,41.059459999999994,-72.4264,17113,1191,1,8610000US11971,46256,229,2017,11971
2865,11972,457,86083,1171,211.8,Speonk,NY,New York,40.83355,-72.70683000000001,17119,502,1,8610000US11972,23439,82,2017,11972
2866,11975,111,71875,223,55.3,Wainscott,NY,New York,40.94319,-72.24435,17125,600,1,8610000US11975,34461,98,2017,11975
2867,11976,889,115875,1996,49.2,Water Mill,NY,New York,40.927640000000004,-72.34792,17129,817,1,8610000US11976,56860,157,2017,11976
2868,11977,817,106354,2455,166.3,Westhampton,NY,New York,40.82759,-72.67913,17134,819,1,8610000US11977,35741,106,2017,11977
2869,11978,1228,84516,3058,99.7,Westhampton Beach,NY,New York,40.82936,-72.64733000000001,17138,1944,1,8610000US11978,94372,318,2017,11978
2870,11980,1780,96574,5604,146.9,Yaphank,NY,New York,40.83146,-72.92233,17146,3494,1,8610000US11980,239484,194,2017,11980
2871,12007,0,96574,0,19.1,Alcove,NY,New York,42.45613,-73.92766,17153,17,1,8610000US12007,615,5,2017,12007
2872,12008,161,103472,609,230.8,Alplaus,NY,New York,42.85301,-73.90799,17155,25,1,8610000US12008,1663,11,2017,12008
2873,12009,2953,93975,8036,53.0,Altamont,NY,New York,42.69827,-74.03175999999999,17156,2460,1,8610000US12009,91323,172,2017,12009
2874,12010,11641,49553,28221,85.5,Amsterdam,NY,New York,42.937979999999996,-74.17385,17161,10910,1,8610000US12010,441880,718,2017,12010
2875,12015,1040,58684,3006,87.0,Athens,NY,New York,42.28262,-73.82721,17170,388,1,8610000US12015,14874,63,2017,12015
2876,12017,167,75809,376,8.4,Austerlitz,NY,New York,42.32115,-73.46216,17175,44,1,8610000US12017,1724,11,2017,12017
2877,12018,2825,91075,7324,68.7,Averill Park,NY,New York,42.62952,-73.52591,17169,561,1,8610000US12018,17962,97,2017,12018
2878,12019,5864,98600,14429,192.9,Ballston Lake,NY,New York,42.93072,-73.88634,17180,1801,1,8610000US12019,79232,232,2017,12019
2879,12020,13235,77157,33456,160.2,Ballston Spa,NY,New York,43.00248,-73.868,17186,12019,1,8610000US12020,756820,762,2017,12020
2880,12022,418,50833,591,11.1,Berlin,NY,New York,42.670770000000005,-73.3457,17193,118,1,8610000US12022,4590,18,2017,12022
2881,12023,777,68807,2134,14.7,Berne,NY,New York,42.60998,-74.16738000000001,17195,44,1,8610000US12023,1626,13,2017,12023
